,name,artist,id,genre,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
7774,Boomerang,Le Youth,6IMPbtloEuzdU5k1RA8EdM,edm,2016-04-08,38,0.726,0.699,6,-7.356,1,0.0822,0.00267,0.0,0.146,0.681,112.007,233787,4
7775,You've Got The Dirtee Love - Live At The Brit Awards / 2010,Florence + The Machine,5Oq3tFsfQ1e2Pi2lBHsI1T,baroque pop,2009,35,0.577,0.93,6,-3.604,1,0.111,0.479,0.0,0.958,0.421,117.342,222040,4
7776,I Know You,Bright Eyes,3p9pWFYjQd9SpndP8wXnVz,anti-folk,2010-03-23,3,0.458,0.578,2,-7.219,1,0.0289,0.323,0.00302,0.0995,0.358,82.893,281800,3
7777,Soldier On,The Temper Trap,0nSDcFXRgTHnY6xpBPxlnj,alternative dance,2009-03-24,38,0.24,0.444,11,-7.11,0,0.0315,0.493,0.154,0.108,0.0649,80.727,354173,4
7778,If You Were Born Today,Low,0mgsRJjoAnsVrJHBBw0IZc,alternative rock,1999,13,0.31,0.158,5,-14.199,1,0.0312,0.716,0.0288,0.0902,0.0393,100.183,290440,4
7779,Boys From Oklahoma,Cross Canadian Ragweed,78aPX2ju8KeRzfocWZE6vy,oklahoma country,2002-07-09,0,0.482,0.81,7,-6.012,1,0.0815,0.51,0.0,0.966,0.61,113.239,297493,4
7780,Let It Burn,Jazmine Sullivan,6KOc6ViZB8NtfCVABmTe66,alternative r&b,2015-01-12,56,0.559,0.56,8,-7.508,0,0.0375,0.264,0.0,0.112,0.425,79.016,223093,4
7781,Highway 85,Migos,2jnn5uL2oWAnG8I9EKvISk,atl hip hop,2015-07-31,40,0.759,0.617,1,-7.481,0,0.381,0.037,0.0,0.179,0.461,166.626,257053,4
7782,Hit Tha Flo,Wiz Khalifa,4SmNcOaOA0H0jMhQ1cWmaF,dance pop,2009-11-24,29,0.794,0.954,7,-5.097,1,0.201,0.0591,0.0,0.373,0.866,143.964,180805,3
7783,I Had Me a Girl,The Civil Wars,1u0GCcygM7jVfLAqcqYLq1,acoustic pop,2013-07-30,14,0.338,0.56,10,-7.052,1,0.0298,0.204,2.98e-06,0.108,0.576,82.966,225093,3
7784,High - Original Mix,Peking Duk,48ByhmhBjgyWIRzdHDuQMD,aussietronica,2014-02-14,0,0.524,0.798,0,-4.092,0,0.0491,0.00127,0.00134,0.347,0.357,100.1,228000,4
7785,Let You Go,SOJA,119u8ESWsJr75uMErIH7vl,east coast reggae,2012-10-19,0,0.654,0.674,5,-5.247,1,0.0294,0.113,0.0,0.206,0.803,150.038,219507,4
7786,Come Thru,Jacquees,65PzThqBjHbXZqhkg0XLQr,atl hip hop,2015-08-28,47,0.63,0.56,11,-6.737,0,0.259,0.0474,0.0,0.429,0.671,111.92,240133,4
7787,BTS Cypher Pt.1,BTS,0do2tFk8lqFdNL2TYAlslN,k-pop,2013-09-11,53,0.753,0.903,2,-5.414,1,0.354,0.541,0.0,0.343,0.858,96.547,131192,4
7788,Way Cool Baby Love,DAISY,3AzaarbayKjSC7tIRc7LZx,la pop,2016-08-19,44,0.493,0.478,6,-8.391,1,0.0358,0.23,2.78e-05,0.116,0.362,112.036,332360,4
7789,Your Love Is Extravagant,The Almost,5MdmTxyYhkwi6rxjy4MhmW,christian alternative rock,2008-01-01,19,0.627,0.188,2,-12.955,1,0.0397,0.853,6.96e-06,0.101,0.209,144.979,245560,4
7790,Midnight Kiss,Hudson Moore,5ulqlczoY59KGrfZZ2GIRs,country pop,2016-06-17,13,0.484,0.7,1,-5.661,1,0.029,0.0611,0.0,0.0753,0.279,78.037,225373,4
7791,Turn to Stone,Electric Light Orchestra,1Pd1h30mgU05QkWYhgFzwt,album rock,1977,63,0.548,0.72,1,-9.777,0,0.0409,0.0686,0.000232,0.107,0.458,140.966,229093,4
7792,Lucky Guy,Sondre Lerche,5jRSGqIQOk7VJ87975FZbq,bergen indie,2014-09-23,0,0.517,0.365,7,-11.761,1,0.026,0.107,0.421,0.0891,0.328,96.057,239107,4
7793,1/1 - Remastered 2004,Brian Eno,3bCmDqflFBHijgJfvtqev5,ambient,1978,50,0.26,0.00397,2,-31.095,1,0.0406,0.982,0.913,0.102,0.0368,82.862,1041520,4
7794,Joanne,Lady Gaga,1mcb6XOtbQLn3CpwEUcMPk,dance pop,2016-10-21,0,0.549,0.407,7,-8.481,1,0.0269,0.148,0.0,0.101,0.383,149.753,196907,4
7795,Emotions-h-town,H-Town,0hjIg7q5bUmeNfFlr95g9o,boy band,1998,0,0.599,0.514,9,-8.816,0,0.0352,0.14,0.0,0.188,0.235,117.962,298093,4
7796,I'm Yours,Jason Mraz,3S0OXQeoh0w6AY8WQVckRW,acoustic pop,2008-05-01,73,0.686,0.457,11,-8.322,1,0.0468,0.595,0.0,0.105,0.718,150.953,242187,4
7797,Jealous Azz B*tc^h,Three 6 Mafia,2knWxyEDjExfD79L8vIQ4d,crunk,2000-10-31,23,0.945,0.486,7,-7.005,1,0.33,0.0284,3.95e-05,0.0381,0.644,134.371,258067,4
7798,Angel,Aerosmith,3kfXUGIdBNpyr2gBvU3Guj,album rock,1987-01-01,62,0.239,0.819,3,-3.583,1,0.0393,0.304,0.0,0.0855,0.439,171.449,308907,4
7799,Cleopatra,The Lumineers,00J5gs1uNqVMEfJ7U0z1o3,folk-pop,2016-02-05,0,0.407,0.306,8,-7.878,1,0.0522,0.859,8.13e-05,0.169,0.333,74.786,288360,4
7800,Who'd Have Known,Lily Allen,3OFacwSNvln7Bcx3wGOpjV,dance pop,2008-12-02,40,0.662,0.624,10,-7.552,1,0.0408,0.468,1.42e-05,0.109,0.524,83.979,230987,4
7801,Hells Bells,AC/DC,69QHm3pustz01CJRwdo20z,australian rock,1980-07-25,74,0.389,0.873,4,-4.768,0,0.0475,0.00532,0.0055,0.273,0.303,106.767,312293,4
7802,I. The Party,Childish Gambino,6hq9bclZdXhlHx3wfPmb4i,atl hip hop,2013-01-01,0,0.485,0.576,6,-11.193,1,0.344,0.188,0.00661,0.152,0.315,156.281,91292,4
7803,Christmas Eve,Justin Bieber,6Zztw1ERHqXAngHE8PfO6N,canadian pop,2011-01-01,54,0.409,0.57,6,-10.54,0,0.0711,0.687,0.0,0.173,0.336,128.657,223613,4
7804,With Everything - Live,Hillsong UNITED,2LmOK6ksItGzrZMlq6FZbv,ccm,2010-03-05,36,0.445,0.806,11,-8.395,1,0.0523,0.0402,0.00189,0.737,0.277,137.99,518867,4
7805,Heart Of The World,Lady A,42a2iCfuptkYeH7fnC6juK,contemporary country,2011-01-01,0,0.638,0.34,0,-10.242,1,0.0282,0.629,2.04e-05,0.104,0.205,122.944,223547,4
7806,Say So - Vasco Remix,Terror Jr,0T3ZQJeijKtfZry58dP7mN,alt z,2016-09-30,25,0.705,0.3,7,-11.059,0,0.0874,0.245,0.000817,0.288,0.3,97.976,164685,4
7807,I Could Be The One (Avicii Vs. Nicky Romero) - Nicktim / Radio Edit,Avicii,2bNrvWD9d5Zn9tS8XvcaMk,dance pop,2012-01-01,0,0.509,0.79,6,-3.782,0,0.0374,0.332,6.67e-05,0.316,0.638,127.946,208316,4
7808,She Don't Like The Lights - Acoustic Version,Justin Bieber,7ej2KATDNa2Wij1TQZJeq7,canadian pop,2013-01-01,45,0.612,0.428,8,-8.52,0,0.0292,0.752,0.0,0.0921,0.685,123.813,215813,4
7809,Drowning - STWO Remix,BANKS,4V9p3bNoNUntjGFltKRZNM,alternative r&b,2015-03-19,0,0.471,0.536,7,-8.916,1,0.0855,0.249,0.000426,0.237,0.149,161.951,232593,4
7810,Greensleeves,Mannheim Steamroller,7I60LhRyksuDu89HYo3V3T,new age,1988,30,0.204,0.209,7,-13.263,0,0.0383,0.92,0.763,0.0986,0.0537,95.581,208613,3
7811,Hard Liquor,SOHN,7cKeJC6BEEFiHH6pEBVMx5,electropop,2017-01-13,0,0.458,0.528,1,-8.253,1,0.0608,0.0533,0.0221,0.101,0.425,149.852,244186,4
7812,Just Fall,Anthem Lights,2mofSUHAVbC6NNCmmNFerz,ccm,2014-10-14,25,0.63,0.829,5,-4.98,1,0.0328,0.106,0.0,0.116,0.523,124.978,236990,4
7813,Lay Me Down,The Wreckers,4MiQNQpkH1kYAR8mxkoUOA,candy pop,2006,32,0.608,0.771,4,-4.259,0,0.0301,0.034,0.000147,0.254,0.429,88.902,214785,4
7814,Prophets Of Rage,Prophets Of Rage,1M610MuSYm8N3xDnEjsKqM,conscious hip hop,2016-07-18,0,0.488,0.932,5,-5.492,0,0.0504,0.000962,0.000863,0.278,0.884,200.056,190181,4
7815,Mason-Dixon Line,Judah & the Lion,5eebwQwrOQN5rZgR05HGef,banjo,2014-09-09,36,0.469,0.881,2,-7.167,1,0.0316,0.0122,0.000211,0.371,0.607,98.288,235547,4
7816,Learning to Be the Light,newworldson,1sdzJeHPly3FYIfXYs0POi,canadian ccm,2012-04-17,36,0.575,0.557,7,-7.022,1,0.0253,0.328,0.0,0.188,0.478,78.51,233933,4
7817,Excuse Me,Kevin Gates,0RKdZIHvksNhYpyDs1fY3x,baton rouge rap,2016-01-29,47,0.827,0.631,11,-7.39,1,0.31,0.0837,0.0,0.387,0.501,103.945,276960,4
7818,Chemicals React - Remix,Aly & AJ,7vOjTY220BqIttYDbwshED,dance pop,2007-01-01,45,0.5,0.889,11,-4.541,1,0.0676,0.0014,0.0,0.0781,0.428,132.713,175920,4
7819,A Rapper's Reputation,Sir Mix-A-Lot,6Pm3VH2yvvUF55Eq31X9DW,gangster rap,1992-01-01,0,0.953,0.755,6,-10.246,0,0.357,0.00375,5.22e-06,0.0433,0.77,118.998,302693,4
7820,Blue Dream,Big Gigantic,6j4PC0PT4A5TI9QitUTV2x,edm,2014-02-11,29,0.577,0.954,7,-2.56,0,0.0495,0.00117,0.324,0.288,0.46,95.011,256244,4
7821,Dead Man's Party,A Thorn For Every Heart,0RyTGKofbqrCi9Vk6oxTdu,screamo,2005-01-01,0,0.487,0.855,1,-4.627,1,0.0739,0.0107,0.0,0.286,0.864,174.75,216333,4
7822,Let Down,Bored Nothing,1oUVuepLlKVvqMpvCU62eV,australian indie,2012-01-01,12,0.48,0.87,1,-6.25,0,0.0346,0.00393,0.904,0.157,0.646,82.644,251773,4
7823,When You're Gone,VÉRITÉ,0bcpHtNR3R9twX2w4VjQmz,alt z,2017-06-23,35,0.479,0.768,0,-3.857,1,0.053,0.353,0.0,0.259,0.538,140.108,229720,4
7824,That's Right (feat. Akon) - Explicit Album Version,Three 6 Mafia,6icC2oBka0XQVgW1vpMz0f,crunk,2008-06-21,30,0.821,0.707,7,-6.096,1,0.256,0.0603,0.0,0.269,0.592,87.033,176507,4
7825,Healing,SEVENTEEN,1nyzf00hpVfBkHlZSVJuky,k-pop,2016-07-04,52,0.679,0.812,2,-2.506,1,0.0557,0.289,0.0,0.263,0.729,116.961,203625,4
7826,Last Night,The Vamps,0uHnegOU2eTG0Lbz2bHA1I,boy band,2014-01-01,51,0.629,0.759,6,-6.671,1,0.061,0.00694,0.0,0.291,0.938,91.047,187644,4
7827,Fireball,Gent & Jawns,4c6jmtvnLX78jTQFmlL6Hu,arab trap,2014-07-22,40,0.562,0.923,2,-4.427,1,0.0378,0.00233,0.198,0.171,0.089,99.989,213531,4
7828,Everything Matters,Ted Nugent,5LjGD6VRnrmMSVQvj5vupd,acid rock,2014-07-04,0,0.606,0.759,8,-6.788,1,0.0687,0.125,6.53e-05,0.0788,0.751,140.445,199661,4
7829,Catch You on My Way Out,Finish Ticket,0av3qMB1eqc8PjH0hG8ppd,bay area indie,2014-05-16,20,0.369,0.623,11,-7.782,1,0.0693,0.0135,0.00205,0.0781,0.139,128.995,287893,4
7830,Rompe - Remix,Daddy Yankee,6lF47CzDZU3et0ACm8UUj3,latin,2006-01-01,37,0.638,0.837,1,-3.984,0,0.274,0.228,0.0,0.183,0.58,176.116,209027,4
7831,The Very Thought of You,Michael Bublé,1eFOYKVociYWN0RwUgJFvY,adult standards,2016-10-21,38,0.255,0.131,5,-10.896,1,0.0323,0.713,0.00102,0.107,0.11,173.134,211613,3
7832,Lover Of Mine,Beach House,4bgE6WRfTjypSMZwwIXgyq,baltimore indie,2010,0,0.613,0.443,9,-5.249,0,0.0265,0.212,0.00997,0.089,0.286,97.223,308387,4
7833,T'd Up,Russ,4V1F9rzHuRmgwhQYOOiDhN,hawaiian hip hop,2016-05-10,39,0.762,0.513,1,-7.402,0,0.114,0.303,0.0,0.0815,0.454,139.962,194220,4
7834,Age of Consent - 2015 Remaster,New Order,2EEinN4Zk8MUv4OQuLsTBj,art rock,1983-05-02,66,0.372,0.91,2,-5.559,1,0.0392,0.00101,0.0944,0.13,0.756,161.964,315333,4
7835,Wait for Love,St. Lucia,4LxvGZBpA5SHkGGWFBP0i3,alternative dance,2012,27,0.66,0.901,5,-5.686,1,0.0584,0.199,0.000393,0.272,0.771,109.999,214213,4
7836,Rocket Man (I Think It's Going To Be A Long Long Time),Elton John,2zvot9pY2FNl1E94kc4K8M,glam rock,1972-05-19,0,0.601,0.532,10,-9.119,1,0.0286,0.432,6.25e-06,0.0925,0.341,136.571,281613,4
7837,Pioneers,The Lighthouse And The Whaler,0gEGOIM1uIewOVWWeULTUm,cleveland indie,2012-09-18,31,0.734,0.686,0,-7.778,1,0.0301,0.148,0.00309,0.0504,0.568,129.964,198133,4
7838,Rafael,Beatenberg,0KcGtGiqBbOQ885PZUO9pk,cape town indie,2014-01-01,0,0.716,0.67,11,-11.027,1,0.0415,0.19,0.00535,0.2,0.615,124.999,250827,4
7839,HandClap - Dave Audé Remix,Fitz and The Tantrums,6gonxEicLUPcuJsQOtLGuk,indie poptimism,2016-06-09,32,0.725,0.918,8,-2.468,1,0.0352,0.00015,0.00127,0.0642,0.503,128.016,295932,4
7840,LA Calling,Crystal Fighters,3Xh70BsJYf9nHnc0FtN07i,alternative dance,2013-05-28,33,0.571,0.89,11,-6.224,1,0.055,0.0682,2.68e-06,0.249,0.595,136.085,229240,4
7841,Too Young,Zeds Dead,1fR961e0W4W2eeRdjfcrNn,brostep,2016-10-14,44,0.751,0.746,10,-5.33,1,0.117,0.199,2.41e-06,0.117,0.309,167.993,180720,3
7842,Intro: Never Mind,BTS,6ywEFeJuiTjCS2auO5egba,k-pop,2016-01-20,0,0.345,0.945,6,-4.909,0,0.909,0.0112,0.0,0.34,0.441,79.697,136428,1
7843,"Click, Clack - Get Back!",Ice Cube,616ipbXZdvKmlPOJlJuBm7,conscious hip hop,2006-01-01,38,0.573,0.823,1,-3.53,1,0.0951,0.00173,0.0,0.548,0.853,168.07,190497,4
7844,Go Off,KB,5XQWEXQuMkwpXBQMVp18Aq,christian hip hop,2012,0,0.758,0.974,5,-2.266,0,0.182,0.284,0.0,0.129,0.722,137.97,268213,4
7845,Anti Freeze - Expilcit Version,Pac Div,4VrE5i05bfTx1BUG4wTrkj,alternative hip hop,2011-01-01,21,0.645,0.697,1,-4.909,1,0.287,0.0328,0.0102,0.12,0.325,150.076,235853,4
7846,Keep Moving - Radio Edit,Sultan + Shepard,26mA4JoIhXBwcN3WPhFD0i,canadian electronic,2015-02-16,10,0.58,0.934,5,-3.359,1,0.0382,0.0978,0.00213,0.0626,0.587,129.991,188008,4
7847,The Other Guy,Jesse McCartney,4EiIAuLh3mm6YfecF1BGFm,dance pop,2014-07-22,0,0.545,0.343,6,-6.49,1,0.0322,0.871,0.0,0.0994,0.444,144.702,219403,4
7848,Rubbin off the Paint,YBN Nahmir,6rZFgf3CfLfjDrm10bbfrR,alabama rap,2017-09-17,0,0.522,0.453,1,-17.428,1,0.419,0.00957,0.0,0.228,0.388,108.004,156134,5
7849,My Heartbreak,Mike Ryan,3zBPDl7nnTU6w0iNa39q8s,contemporary country,2012-09-18,0,0.499,0.56,0,-7.344,1,0.0288,0.518,0.0,0.125,0.329,148.988,245600,4
7850,Home,Bruno Major,4OsBjrJQbPSMAqdjLBaGOt,chill r&b,2017-08-31,60,0.479,0.446,11,-7.291,1,0.0377,0.825,2.49e-06,0.0926,0.118,130.63,200620,4
7851,Satellite,Guster,14j4diRlUSWvbq5t0rgR6b,boston rock,2006-06-20,55,0.545,0.747,6,-6.304,0,0.0288,0.0035,0.0525,0.118,0.641,131.936,273160,4
7852,Auld Lang Syne,Straight No Chaser,4oijOLgsprJSNAhJ0FWykM,a cappella,2008-10-27,27,0.337,0.182,0,-12.41,0,0.0324,0.811,0.0,0.203,0.653,91.703,155507,4
7853,Runaway,Mat Kearney,1LRV5Gyq5pp3CozJbXaiNS,acoustic pop,2011,43,0.575,0.954,9,-4.628,1,0.0356,0.00307,0.000113,0.0572,0.602,137.977,231787,4
7854,Last to Know,Three Days Grace,1o4Pf2GIMDCD7ifIM2yI77,alternative metal,2009-09-22,56,0.465,0.456,4,-6.603,0,0.0282,0.554,0.0,0.111,0.293,138.78,207467,4
7855,I Enter - Original Mix,Secondcity,0I1iEooWlR2h5p4HK3XkAO,deep groove house,2013-07-15,47,0.829,0.727,10,-9.199,0,0.0563,0.000499,0.852,0.0352,0.738,123.002,282048,4
7856,Same Ol' G,Ginuwine,3mzhALepM7B20691kJfMND,dance pop,1996,16,0.824,0.336,5,-12.86,1,0.121,0.0396,0.0,0.0451,0.732,81.838,259827,4
7857,Greenlight,5 Seconds of Summer,0vu9EzOMMBX1PlrEgIgqyI,boy band,2014,0,0.473,0.863,2,-4.463,1,0.0345,4.92e-05,0.0,0.282,0.636,144.904,165935,4
7858,Three Strikes,Afrojack,17Iaw5s5kD7sIbt9a8M7sg,big room,2014-01-01,0,0.568,0.939,10,-4.686,1,0.0554,0.00178,0.133,0.165,0.0943,127.999,296066,4
7859,Waves,Luna Shadows,4Bpn1ZZQ8Fy2fiFqKwMfOS,alt z,2016-07-01,0,0.564,0.826,8,-5.534,0,0.0707,0.176,4.21e-06,0.169,0.417,121.984,218361,4
7860,It's My Turn Now,Awreeoh,2jp9zEJiyc4aQyEGug8Mmq,escape room,2015-06-16,33,0.65,0.823,8,-4.626,1,0.0484,0.0296,0.0,0.122,0.459,127.04,216827,4
7861,Self Control,Laura Branigan,6JNJERZGJwDVgkmbohBw7u,new romantic,1984,72,0.814,0.686,6,-12.172,0,0.0342,0.219,0.00382,0.155,0.778,106.679,246440,4
7862,Ultralight Beam,emir taha,0TTKVFFUtgDylIdIP7EzlB,turkish trap pop,2016-02-29,0,0.485,0.342,4,-11.542,0,0.45,0.826,1.99e-05,0.3,0.125,73.876,285884,5
7863,This Is What You Came For (feat. Rihanna),Calvin Harris,0azC730Exh71aQlOt9Zj3y,dance pop,2016-04-29,80,0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962,222160,4
7864,Light Up the Sky,The Afters,2YEQNToSXA0iOxzpHPlkw9,ccm,2010-09-14,0,0.468,0.774,2,-4.716,1,0.0316,0.0319,0.0,0.0666,0.408,141.959,218840,4
7865,Happily Ever After,Case,21fXrzSxu2y51Yqf57QycI,hip hop,1999-01-01,55,0.747,0.609,4,-6.985,0,0.0347,0.138,0.0,0.105,0.555,120.051,276000,4
7866,"For the First Time in Forever - From ""Frozen""/Soundtrack Version",Kristen Bell,70b5Sq3ePOu3Gqg0hjlOtR,disney,2013-01-01,68,0.354,0.411,0,-6.018,1,0.0344,0.815,1e-06,0.106,0.43,90.831,225080,4
7867,(Your Love Keeps Lifting Me) Higher and Higher,Rod Stewart,3IifcgFTY5bTMna7MHUE75,classic rock,2009-10-23,29,0.6,0.862,10,-5.66,1,0.0339,0.0699,9.28e-06,0.0769,0.787,91.509,201507,4
7868,Tangled In The Great Escape,Pierce The Veil,7bUFAdnKK8CxEWWyzdopo0,metalcore,2012-07-17,52,0.278,0.933,4,-3.85,0,0.115,0.00711,1.68e-05,0.384,0.116,105.001,356893,3
7869,Constant Crush - Mansionair Remix,VÉRITÉ,4WMCllwqU4hot6yqJcxWoH,alt z,2016-06-10,42,0.571,0.637,1,-5.423,1,0.0712,0.192,0.655,0.066,0.409,104.922,258286,4
7870,Purple,Nas,42qK1JWm8fDy3qHZbIZNuQ,conscious hip hop,2002,53,0.865,0.595,11,-6.705,0,0.227,0.0377,0.0,0.0877,0.819,96.948,219467,4
7871,Don't,Bryson Tiller,3pXF1nA74528Edde4of9CC,kentucky hip hop,2015-10-02,79,0.765,0.356,11,-5.556,0,0.195,0.223,0.0,0.0963,0.189,96.991,198293,4
7872,"Lawyers, Guns and Money - 2007 Remaster",Warren Zevon,64dHj8ZxaI2Wj0brEehVMN,classic rock,1978-06-01,59,0.641,0.78,9,-6.675,1,0.0351,0.0671,0.00181,0.0562,0.746,94.228,210480,4
7873,Nasty Freestyle - The Replay,T-Wayne,0FRDRVD3PCsp5EwroPcXxi,houston rap,2015-08-28,45,0.891,0.403,8,-9.84,0,0.345,0.0293,0.0,0.146,0.541,135.13,143071,4
7874,Honeypot,Bob Schneider,6IVV4aA3CsLlP4nHhnKCIG,alternative americana,2011-01-01,11,0.596,0.616,2,-5.489,1,0.0301,0.0799,5.93e-06,0.288,0.789,169.02,263640,4
7875,Keep On Dancin',Ellie Goulding,1TFfOebb7u1Dof6OXxw38S,dance pop,2015-11-06,38,0.591,0.686,2,-6.608,1,0.0326,0.00462,1.06e-05,0.185,0.155,100.016,226499,3
7876,See Through My Eyes,Alex Angelo,26LHjkCb6NSas1AilhI7GE,teen pop,2015-09-25,0,0.611,0.916,3,-4.178,1,0.0452,0.00485,0.0,0.0564,0.725,120.079,220076,4
7877,I'm On One,DJ Khaled,608a1wIsSd5KzMEqm1O7w3,hip hop,2011-01-01,69,0.413,0.807,11,-3.499,0,0.318,0.0536,0.0,0.631,0.438,149.33,296147,4
7878,Our Youth,Sonny Alven,25XEG0uXmn4AhvxJ2W4MJD,deep tropical house,2015-09-16,0,0.595,0.825,6,-4.773,0,0.073,0.0527,5.83e-06,0.0883,0.193,119.668,200480,4
7879,Woman To Woman,Barbara Mandrell,4skT294uKyPTfqpHcccjDF,classic country pop,1979-01-01,10,0.68,0.347,11,-13.485,1,0.0451,0.288,0.0104,0.0966,0.655,82.363,207427,4
7880,Breakin' Up,Rilo Kiley,01Q8bAneKdVSjgTcRo9uCO,anti-folk,2007-08-20,39,0.651,0.775,9,-5.225,1,0.0481,0.00104,1.13e-06,0.0723,0.478,115.036,217453,4
7881,Shekini,P-Square,5lHd4q7QBN8T23GccIQHGn,afro dancehall,2014-08-29,26,0.819,0.872,7,-4.266,1,0.075,0.0322,0.0252,0.027,0.978,94.437,218095,3
7882,"But Wait, There's More (feat. $uicideBoy$)",Pouya,35su7ZktjYPHSIUSKlr7XD,aesthetic rap,2016-04-29,42,0.8,0.824,8,-5.159,1,0.0604,0.0128,0.000221,0.0527,0.462,150.023,128000,4
7883,Over You,Miranda Lambert,3fDsErbmOD3TuaSDuxSXav,contemporary country,2011-11-01,57,0.566,0.507,6,-6.973,1,0.0279,0.535,0.00619,0.107,0.141,158.119,253373,4
7884,Undivided,Asking Alexandria,6t9TNQh2FroLaZKMTHDDcj,metalcore,2016-03-25,42,0.39,0.986,6,-3.555,0,0.132,0.000281,0.0,0.393,0.169,149.949,215300,4
7885,It Don't Mean A Thing,Ella Fitzgerald,0uIeF7OyTsd4eQJH790dnw,adult standards,1957,0,0.548,0.428,0,-11.41,1,0.072,0.36,0.0,0.186,0.724,144.465,255200,4
7886,If Only,Gin Wigmore,4xjbqAESp0RRBpnHlGebjR,auckland indie,2011,28,0.545,0.584,5,-4.552,1,0.027,0.136,0.00967,0.143,0.325,100.475,285187,3
7887,Weather Report,The Tennors,2vyp2DRpPbpnsuKpwFWVSg,early reggae,2004-01-01,14,0.718,0.69,11,-5.768,1,0.128,0.259,0.00186,0.0652,0.911,74.365,143187,4
7888,This Far From Memphis,Easton Corbin,4a1s4abQkfbaLkWBn6uMLf,contemporary country,2010,37,0.563,0.518,4,-9.96,1,0.0305,0.287,3.35e-05,0.171,0.38,77.991,197680,4
7889,Friend Of Mine (feat. Vargas & Lagola),Avicii,5WEqjIUHkwZ5h3DSE7F9bM,dance pop,2017-08-09,39,0.701,0.717,7,-4.367,0,0.056,0.0181,0.00599,0.0713,0.666,109.999,159864,4
7890,Can you kiss me first,College,2RJD6EyGDQVg1Ow2vfVrqp,filter house,2008-03-03,40,0.402,0.668,5,-6.831,1,0.0375,4.57e-05,0.703,0.103,0.037,129.018,222133,4
7891,Ain't Nothin' Wrong,2nd II None,3ZRSKCQSLGyyiWBSqHOXWq,gangster rap,1991,25,0.822,0.44,1,-13.853,1,0.228,0.0764,0.0,0.251,0.671,100.194,199640,4
7892,Jingle Bells,Alan Jackson,3idyQ4U3SSSdRHa1S6GpGg,contemporary country,2002-10-22,37,0.669,0.416,4,-8.634,1,0.0462,0.72,0.0,0.111,0.801,161.065,170520,4
7893,¿Qué Pasa?,Juanes,0FztUda0RBUZRPjpHA7m7c,colombian pop,2004-01-01,31,0.562,0.822,6,-4.738,0,0.0424,0.0764,0.0,0.313,0.727,165.032,227667,4
7894,Joy Of The Lord,Rend Collective,3KxqxoSfGO60x5VDmF7VCA,anthem worship,2016-10-07,31,0.605,0.807,2,-5.507,1,0.051,0.0675,0.0,0.154,0.271,101.929,321080,4
7895,Dance,Parmalee,2zS1beKFoh4cSnPHrLrVbG,contemporary country,2013-12-10,29,0.453,0.901,7,-3.956,1,0.0429,0.0402,0.0,0.303,0.923,190.121,192760,3
7896,Crocodile Tears,Tobias Jesso Jr.,3TrYli5BpZzzNoyAH64k2K,beatlesque,2015-01-01,12,0.728,0.554,10,-6.868,1,0.0278,0.583,0.0142,0.101,0.785,133.08,142213,4
7897,Hello,Erykah Badu,6AaQoliicVSZhobw0OSSM0,afrofuturism,2015-11-27,0,0.453,0.538,11,-6.244,0,0.224,0.632,0.0,0.32,0.361,82.089,319959,4
7898,Traffic,Lil Reese,3VBwsqvZsQdTXv2ZkTHglB,chicago bop,2012-01-01,0,0.906,0.512,2,-5.321,1,0.0956,0.00246,0.0,0.141,0.259,130.05,237293,4
7899,Moses,French Montana,1sZWRWPnJoV9ac32i3oMwz,gangster rap,2015-08-21,50,0.594,0.811,4,-3.754,0,0.0954,0.098,0.0,0.116,0.128,143.912,272693,4
7900,Planetary (GO!),My Chemical Romance,3iitOoZUtWEgwZOEYFITFo,emo,2010-11-05,57,0.608,0.954,7,-3.507,1,0.0499,0.0006,0.269,0.358,0.723,131.991,246760,4
7901,New Order,Dabeull,69ctEZ33ya1blxK998piPv,indie soul,2014-10-20,47,0.657,0.744,11,-5.73,0,0.037,0.00374,0.248,0.103,0.648,113.494,215507,4
7902,On Sight,Kanye West,1gqkRc9WtOpnGIqxf2Hvzr,chicago rap,2013-06-18,64,0.605,0.469,9,-3.182,0,0.327,0.487,0.0,0.28,0.515,101.601,156480,4
7903,Nobody Speak (feat. Run The Jewels),DJ Shadow,3UajtqBR1vopHl4EVQutul,big beat,2016-06-24,41,0.62,0.814,2,-5.937,1,0.155,0.0403,0.0025,0.263,0.303,160.093,195966,4
7904,Coastin' (feat. High Dive Heart),Annie Bosko,0NS8nLPmcbgHZR7VyzrZQN,country pop,2015-07-13,6,0.638,0.876,5,-4.152,1,0.0323,0.285,1.15e-05,0.227,0.749,148.047,198160,4
7905,Punch Drunk Grinning Soul,Flogging Molly,5vCpkgLvm7kIytH4aFDuuV,celtic punk,2008-01-01,12,0.32,0.843,4,-4.894,0,0.0619,0.00964,0.0112,0.237,0.696,138.952,260760,3
7906,I Love London,Crystal Fighters,769wYyqq3CtZ1YGTv5JVds,alternative dance,2009,1,0.692,0.902,7,-4.915,1,0.0792,0.000566,0.681,0.255,0.733,157.517,170000,4
