,name,artist,id,genre,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
66,For You,Serena Ryder,3KYeya16huq2TscsnWpNxr,canadian indie,2012-01-01,20,0.571,0.733,3,-6.147,0,0.0355,0.0275,0.00101,0.178,0.454,112.478,244960,3
67,Me and Charlie Talking,Miranda Lambert,4IOVThlzDO4CphzbVIGd5U,contemporary country,2005,38,0.596,0.906,2,-4.422,1,0.0346,0.138,1.02e-06,0.0316,0.336,100.461,251600,4
68,"Where Did I Put That Thing / Bibbidi-Bobbidi-Boo (The Magic Song) - From ""Cinderella"" / Soundtrack Version",Verna Felton,0rzqBHKWkrZZ7R0e2y3abc,disney,2005-01-01,0,0.33,0.241,8,-13.392,1,0.0443,0.98,0.0164,0.634,0.206,137.083,287933,3
69,She's In Love With The Boy - Single Version,Trisha Yearwood,2ulBBx6YQ3qY3ci34RadtN,contemporary country,1991-01-01,67,0.783,0.698,3,-8.268,1,0.0323,0.522,2.52e-06,0.0754,0.758,124.996,248200,4
70,Deja vu,Prince Royce,46HdsiK0uR26B2dY9QPzda,bachata,2017-02-24,67,0.732,0.801,9,-3.859,1,0.0327,0.39,0.0,0.31,0.824,123.981,196480,4
71,Sun Dance,Felly,29FLOzVMMmSYDMPicVJdAy,pop rap,2015-07-27,0,0.863,0.577,7,-4.544,1,0.253,0.0299,0.0,0.327,0.581,110.021,148636,4
72,Looking Up,SafetySuit,7ezGYRSrMOywKamZ0LPVwR,neo mellow,2015-10-23,42,0.61,0.822,0,-4.424,1,0.0336,0.00272,0.000323,0.169,0.455,92.046,194025,4
73,Daughters,The Story So Far,3r4AXS0FZZX2cG7SPUSTpy,alternative emo,2011-06-21,44,0.355,0.994,7,-2.947,1,0.131,5.31e-05,0.00187,0.354,0.19,167.972,186787,4
74,So F**kin' Romantic - The Knocks Remix,Matthew Koma,7eoIqhXjSgC1ckaKoBsfCb,pop edm,2015-08-14,12,0.653,0.678,1,-8.089,0,0.073,0.0029,0.161,0.153,0.924,122.993,322496,4
75,Your Mama Don't Dance,Rebirth Brass Band,5ifYrcpQ8jTcWT8fZA1aJK,brass band,2014-06-24,16,0.673,0.732,1,-8.658,1,0.138,0.00106,0.775,0.094,0.307,102.831,229427,4
76,Road Trippin',Dan + Shay,2IOvJJrN6RajoMOd9TyGra,contemporary country,2016-06-03,50,0.545,0.812,5,-4.652,1,0.049,0.00327,0.0,0.286,0.761,161.107,212573,4
77,King Of My Heart,John Mark McMillan,5OAHk4SXmhIjBhtLMVPllV,anthem worship,2015-06-23,3,0.547,0.45,3,-8.717,1,0.0279,0.673,0.0519,0.0982,0.189,136.034,295720,4
